"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(1,1.05]",1,1,1.05,1.025,0.05,0.0113565385270569,"(350,400]",350,400,375
"(1.05,1.1]",2,1.05,1.1,1.075,0.05,0.0227130770541139,"(350,400]",350,400,375
"(1.1,1.15]",2,1.1,1.15,1.125,0.0499999999999998,0.022713077054114,"(350,400]",350,400,375
"(1.2,1.25]",1,1.2,1.25,1.225,0.05,0.0113565385270569,"(350,400]",350,400,375
"(1.25,1.3]",1,1.25,1.3,1.275,0.05,0.0113565385270569,"(350,400]",350,400,375
"(1.5,1.55]",1,1.5,1.55,1.525,0.05,0.0113565385270569,"(350,400]",350,400,375
"(1.75,1.8]",1,1.75,1.8,1.775,0.05,0.0113565385270569,"(350,400]",350,400,375
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.12860448055979,"(400,450]",400,450,425
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.564302240279894,"(400,450]",400,450,425
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.12860448055979,"(400,450]",400,450,425
"(0.254,0.304]",147,0.254,0.304,0.279,0.05,1.65904858642289,"(400,450]",400,450,425
"(0.304,0.354]",124,0.304,0.354,0.329,0.05,1.39946955589414,"(400,450]",400,450,425
"(0.354,0.404]",88,0.354,0.404,0.379,0.05,0.993171942892612,"(400,450]",400,450,425
"(0.404,0.454]",48,0.404,0.454,0.429,0.05,0.541730150668698,"(400,450]",400,450,425
"(0.454,0.504]",26,0.454,0.504,0.479,0.05,0.293437164945545,"(400,450]",400,450,425
"(0.504,0.554]",25,0.504,0.554,0.529,0.05,0.282151120139947,"(400,450]",400,450,425
"(0.554,0.604]",16,0.554,0.604,0.579,0.0499999999999999,0.180576716889566,"(400,450]",400,450,425
"(0.604,0.654]",8,0.604,0.654,0.629,0.05,0.0902883584447829,"(400,450]",400,450,425
"(0.654,0.704]",5,0.654,0.704,0.679,0.0499999999999999,0.0564302240279895,"(400,450]",400,450,425
"(0.704,0.754]",3,0.704,0.754,0.729,0.05,0.0338581344167936,"(400,450]",400,450,425
"(0.754,0.804]",4,0.754,0.804,0.779,0.05,0.0451441792223915,"(400,450]",400,450,425
"(0.804,0.854]",1,0.804,0.854,0.829,0.0499999999999999,0.0112860448055979,"(400,450]",400,450,425
"(0.854,0.904]",3,0.854,0.904,0.879,0.05,0.0338581344167936,"(400,450]",400,450,425
"(0.904,0.954]",6,0.904,0.954,0.929,0.0499999999999999,0.0677162688335874,"(400,450]",400,450,425
"(0.954,1]",3,0.954,1,0.977,0.046,0.0368023200182539,"(400,450]",400,450,425
"(1,1.05]",3,1,1.05,1.025,0.05,0.0338581344167936,"(400,450]",400,450,425
"(1.05,1.1]",3,1.05,1.1,1.075,0.05,0.0338581344167936,"(400,450]",400,450,425
"(1.15,1.2]",1,1.15,1.2,1.175,0.05,0.0112860448055979,"(400,450]",400,450,425
"(1.25,1.3]",1,1.25,1.3,1.275,0.05,0.0112860448055979,"(400,450]",400,450,425
"(1.55,1.6]",1,1.55,1.6,1.575,0.05,0.0112860448055979,"(400,450]",400,450,425
"(1.6,1.65]",1,1.6,1.65,1.625,0.0499999999999998,0.0112860448055979,"(400,450]",400,450,425
"(1.85,1.9]",2,1.85,1.9,1.875,0.0499999999999998,0.0225720896111958,"(400,450]",400,450,425
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.07014821552785,"(450,500]",450,500,475
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.535074107763925,"(450,500]",450,500,475
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.07014821552785,"(450,500]",450,500,475
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,1.60522232329178,"(450,500]",450,500,475
"(0.304,0.354]",133,0.304,0.354,0.329,0.05,1.42329712665204,"(450,500]",450,500,475
"(0.354,0.404]",122,0.354,0.404,0.379,0.05,1.30558082294398,"(450,500]",450,500,475
"(0.404,0.454]",56,0.404,0.454,0.429,0.05,0.599283000695596,"(450,500]",450,500,475
"(0.454,0.504]",38,0.454,0.504,0.479,0.05,0.406656321900583,"(450,500]",450,500,475
"(0.504,0.554]",26,0.504,0.554,0.529,0.05,0.278238536037241,"(450,500]",450,500,475
"(0.554,0.604]",9,0.554,0.604,0.579,0.0499999999999999,0.0963133393975067,"(450,500]",450,500,475
